Tiempo (s),Temperatura (°C),Estado Servo
108.97,34.25,Cerrado
109.18,34.00,Cerrado
109.39,34.00,Cerrado
109.58,34.00,Cerrado
109.79,34.25,Cerrado
110.00,34.25,Cerrado
110.19,33.50,Cerrado
110.40,34.25,Cerrado
110.61,34.00,Cerrado
110.81,34.00,Cerrado
111.01,34.25,Cerrado
111.21,34.50,Cerrado
111.42,34.50,Cerrado
111.61,33.75,Cerrado
111.82,34.50,Cerrado
112.03,34.25,Cerrado
112.24,34.50,Cerrado
112.43,34.75,Cerrado
112.64,34.25,Cerrado
112.85,34.75,Cerrado
113.05,34.75,Cerrado
113.24,34.75,Cerrado
113.45,34.50,Cerrado
113.66,34.75,Cerrado
113.85,34.75,Cerrado
114.06,35.00,Cerrado
114.27,34.50,Cerrado
114.46,35.00,Cerrado
114.67,34.75,Cerrado
114.88,34.75,Cerrado
115.07,35.00,Cerrado
115.28,35.00,Cerrado
115.48,34.75,Cerrado
115.68,35.00,Cerrado
115.88,35.00,Cerrado
116.09,35.25,Cerrado
116.30,35.25,Cerrado
116.51,35.25,Cerrado
116.70,35.25,Cerrado
116.91,35.25,Cerrado
117.12,35.25,Cerrado
117.31,35.25,Cerrado
117.51,35.25,Cerrado
117.72,35.00,Cerrado
117.93,35.75,Cerrado
118.12,35.25,Cerrado
118.33,35.50,Cerrado
118.54,35.50,Cerrado
118.73,35.25,Cerrado
118.94,36.00,Cerrado
119.15,35.25,Cerrado
119.34,35.75,Cerrado
119.55,35.75,Cerrado
119.74,35.25,Cerrado
119.95,35.75,Cerrado
120.15,36.00,Cerrado
120.36,36.25,Cerrado
120.55,35.75,Cerrado
120.76,36.00,Cerrado
120.97,36.00,Cerrado
121.16,35.75,Cerrado
121.37,36.25,Cerrado
121.58,36.50,Cerrado
121.78,36.00,Cerrado
121.98,36.25,Cerrado
122.18,36.50,Cerrado
122.39,36.25,Cerrado
122.60,36.25,Cerrado
122.79,36.50,Cerrado
123.00,36.25,Cerrado
123.19,36.50,Cerrado
123.40,36.50,Cerrado
123.61,36.50,Cerrado
123.80,36.50,Cerrado
124.01,36.25,Cerrado
124.22,36.50,Cerrado
124.41,36.50,Cerrado
124.62,36.75,Cerrado
124.82,36.75,Cerrado
125.02,37.00,Cerrado
125.22,36.75,Cerrado
125.43,36.75,Cerrado
125.64,36.75,Cerrado
125.83,36.75,Cerrado
126.04,37.00,Cerrado
126.25,37.00,Cerrado
126.44,36.50,Cerrado
126.65,36.50,Cerrado
126.85,37.25,Cerrado
127.06,37.25,Cerrado
127.27,36.75,Cerrado
127.46,37.50,Cerrado
127.67,37.25,Cerrado
127.88,37.25,Cerrado
128.07,37.00,Cerrado
128.28,37.50,Cerrado
128.49,37.50,Cerrado
128.68,37.25,Cerrado
128.89,37.00,Cerrado
129.09,37.50,Cerrado
129.29,37.75,Cerrado
129.49,37.50,Cerrado
129.70,37.25,Cerrado
129.89,37.75,Cerrado
130.10,37.25,Cerrado
130.31,37.50,Cerrado
130.50,37.50,Cerrado
130.72,38.00,Cerrado
130.93,38.00,Cerrado
131.12,38.00,Cerrado
131.33,37.75,Cerrado
131.54,38.00,Cerrado
131.73,38.00,Cerrado
131.94,38.00,Cerrado
132.15,38.00,Cerrado
132.36,37.75,Cerrado
132.55,37.75,Cerrado
132.76,38.25,Cerrado
132.96,38.00,Cerrado
133.17,38.00,Cerrado
133.36,38.25,Cerrado
133.57,38.50,Cerrado
133.78,38.25,Cerrado
133.97,38.50,Cerrado
134.18,38.25,Cerrado
134.39,38.75,Cerrado
134.58,38.00,Cerrado
134.79,38.00,Cerrado
134.99,38.75,Cerrado
135.19,38.00,Cerrado
135.39,38.50,Cerrado
135.60,38.50,Cerrado
135.81,38.50,Cerrado
136.00,39.00,Cerrado
136.21,39.00,Cerrado
136.42,38.75,Cerrado
136.61,38.75,Cerrado
136.83,39.00,Cerrado
137.03,39.00,Cerrado
137.23,39.00,Cerrado
137.44,39.25,Cerrado
137.63,39.25,Cerrado
137.84,39.00,Cerrado
138.05,39.25,Cerrado
